,-3671.9500000000003
Food&Beverage13Brch-117,152.70000000000002
Others11Brch-835,152.75
BCARD37Brch-74,152.8
Motor&Fuel7Brch-96,153.07
Motor&Fuel7Brch-443,155.70999999999998
Motor&Fuel7Brch-50,155.95
Food&Beverage4Brch-13,155.95000000000005
Motor&Fuel7Brch-361,156.01
Motor&Fuel7Brch-136,157.49999999999997
Motor&Fuel7Brch-185,157.95
Others14Brch-37,160.01
Motor&Fuel7Brch-370,160.54999999999998
Food&Beverage13Brch-39,161.50000000000003
Motor&Fuel7Brch-232,162.2
Motor&Fuel7Brch-27,162.28
Others9Brch-1650,162.35
Others9Brch-1011,163.05
Others11Brch-796,164.4
Food&Beverage13Brch-82,165.2
Motor&Fuel7Brch-170,166.62
Motor&Fuel7Brch-257,168.98000000000002
Motor&Fuel7Brch-51,169.56
BCARD37Brch-28,172.51
Food&Beverage3Brch-25,174.3
Food&Beverage13Brch-10,177.0
Food&Beverage14Brch-14,178.2
Others9Brch-265,179.08999999999997
Motor&Fuel7Brch-335,179.43
Others5Brch-4,181.04999999999998
BCARD44Brch-9,182.8
BCARD44Brch-16,184.51
Food&Beverage1Brch-20,185.0
Motor&Fuel7Brch-297,186.07
Food&Beverage13Brch-112,186.89999999999998
Motor&Fuel7Brch-29,187.62
Motor&Fuel7Brch-300,187.64000000000001
Motor&Fuel7Brch-290,188.34
Others14Brch-19,189.0
Motor&Fuel7Brch-305,190.15
Food&Beverage14Brch-4,190.56
Others5Brch-9,194.5
Others14Brch-58,195.0
Food&Beverage1Brch-25,195.35
Motor&Fuel7Brch-113,195.76
Food&Beverage3Brch-33,195.81
BCARD1Brch-3,196.0
Others11Brch-874,199.29999999999998
Others14Brch-57,200.0
BCARD3Brch-7,200.3
Motor&Fuel7Brch-52,203.21
Motor&Fuel7Brch-320,205.0
Food&Beverage13Brch-3,206.72000000000003
Others9Brch-893,207.20000000000007
Motor&Fuel7Brch-122,211.96999999999997
BCARD37Brch-14,215.60000000000002
Motor&Fuel7Brch-338,215.81
Motor&Fuel7Brch-47,216.57
Food&Beverage14Brch-18,217.64999999999998
Food&Beverage13Brch-93,217.85
